Time,Displacement,Force
(s),(mm),(N)
"4.7740","0.1591","90.5468"
"5.0100","0.1666","95.5789"
"5.1400","0.1713","100.5812"
"5.3680","0.1786","105.5956"
"5.5200","0.1838","110.6108"
"5.7400","0.1910","115.6250"
"5.9120","0.1970","120.6491"
"6.0680","0.2019","125.6503"
"6.2600","0.2086","130.6776"
"6.4220","0.2138","135.6853"
"6.6300","0.2209","140.7267"
"6.8020","0.2264","145.7760"
"6.9720","0.2322","150.7785"
"7.1500","0.2380","155.8258"
"7.3420","0.2446","160.8292"
"7.5140","0.2501","165.8930"
"7.6920","0.2562","170.9158"
"7.8240","0.2607","175.9343"
"8.0040","0.2667","180.9376"
"8.1980","0.2730","185.9504"
"8.3360","0.2781","190.9822"
"8.5240","0.2841","196.0167"
"8.6760","0.2896","201.0744"
"8.8540","0.2956","206.1025"
"9.0320","0.3016","211.1418"
"9.1900","0.3071","216.2299"
"9.3680","0.3129","221.2643"
"9.5280","0.3184","226.2829"
"9.7040","0.3239","231.3249"
"9.8700","0.3296","236.3451"
"10.0380","0.3344","241.3916"
"10.1920","0.3396","246.4313"
"10.3800","0.3457","251.4617"
"10.5180","0.3503","256.4716"
"10.6980","0.3563","261.4923"
"10.8160","0.3609","266.5183"
"10.9780","0.3666","271.5844"
"11.1600","0.3726","276.6015"
"11.3080","0.3778","281.6347"
"11.4960","0.3837","286.6707"
"11.6320","0.3877","291.7017"
"11.8200","0.3938","296.7480"
"11.9800","0.3993","301.8051"
"12.1160","0.4036","306.8103"
"12.2660","0.4089","311.8503"
"12.4060","0.4142","316.9204"
"12.5880","0.4203","322.0095"
"12.7460","0.4257","327.0423"
"12.9160","0.4307","332.1297"
"13.0720","0.4360","337.1773"
"13.2400","0.4410","342.2016"
"13.3900","0.4461","347.2141"
"13.5520","0.4514","352.2200"
"13.6720","0.4562","357.3203"
"13.8360","0.4619","362.3545"
"14.0060","0.4674","367.3958"
"14.1600","0.4727","372.4190"
"14.3320","0.4777","377.4644"
"14.4640","0.4818","382.4875"
"14.6340","0.4875","387.5143"
"14.7640","0.4923","392.5231"
"14.9160","0.4978","397.5447"
"15.0840","0.5034","402.5702"
"15.2380","0.5088","407.5749"
"15.4060","0.5136","412.6185"
"15.5680","0.5192","417.6260"
"15.7120","0.5233","422.6637"
"15.8380","0.5281","427.7304"
"15.9880","0.5335","432.7850"
"16.1540","0.5391","437.7866"
"16.3200","0.5449","442.8273"
"16.4820","0.5495","447.8829"
"16.5200","0.5514","450.0208"
"16.5220","0.5514","450.1013"
"16.6600","0.5560","453.7980"
"16.9000","0.5481","448.7338"
"17.0040","0.5443","443.7117"
"17.1420","0.5388","438.6297"
"17.2780","0.5341","433.5515"
"17.4460","0.5290","428.5139"
"17.5800","0.5250","423.5046"
"17.6860","0.5211","418.4982"
"17.8440","0.5152","413.4901"
"17.9840","0.5107","408.4573"
"18.1540","0.5054","403.4243"
"18.2860","0.5014","398.3698"
"18.4100","0.4971","393.3265"
"18.5580","0.4914","388.2553"
"18.7100","0.4864","383.2350"
"18.8660","0.4819","378.1736"
